artista,biografia,listeners,playcount,similares
La Plazuela,"La Plazuela es un grupo granadino formado por Manuel Hidalgo Sierra alias 'El Indio' y Luis Abril Martín, apodado 'El Nitro', característico por su fusión del flamenco y de la música electrónica.

Su carrera comenzó en el año 2019 con el EP titulado 'Yunque, clavos y arcayatas', pero no fue hasta el año siguiente cuando alcanzaron mayor popularidad con varios sencillos, entre los que se encuentra 'Placeta de la Charca'. Más adelante, publicarían una de sus canciones más conocidas 'Tangos de Copera' Read more on Last.fm",14790,413329,"Califato ¾, Los Delinqüentes, María José Llergo, Sanguijuelas del Guadiana, Camarón de la Isla"
Veintiuno,"VEINTIUNO es una joven banda de Toledo que defiende un estilo entre el rock y fuertes influencias del rnb y soul, ambientando un universo lírico extremadamente personal.

Tras dos EPs,en noviembre de 2015 se publica “Nada Parecido”, su primer disco. Este disco fue grabado de forma independiente gracias a un crowdfunding de 3900 euros que lograron superar en menos de 24 horas, ""Nada Parecido"" fue grabado en Q-Studios (Madrid) bajo la producción de Jimmy Summers y la mezcla de Guillermo Quero (Amaral). Read more on Last.fm",21487,593279,"Siloé, Sidonie, Lori Meyers, Miss Caffeina, Samuraï"
Ojete Calor,"Ojete Calor son un grupo musical, formado por Aníbal Gómez y Carlos Areces, que desarrolla el nuevo género llamado “subnopop”. Una de sus primeras actuaciones fue en la Fiestaca Chanante de octubre 2007 pero ahora podemos disfrutar de su arte en Noche sin tregua (Paramount Comedy) y en la serie Pluton Verbenero (Alex de la Iglesia) Read more on Last.fm",21998,411650,"Ginebras, Siloé, Rozalén, Rigoberta Bandini, Las Bistecs"
Rata Blanca,"Rata Blanca es una banda argentina de metal que se caracteriza por sus pesados riffs y la gran voz de Adrián Barilari. Entre sus integrantes están Adrián Barilari (voz), Fernando Scarcella (batería), Guillermo Sánchez (bajo), Hugo Bistolfi (teclados) y Wálter Giardino (guitarra).

Walter Giardino fundó la banda, luego de su frustrado paso por V8. Debutaron en el teatro de Luz y Fuerza ante 600 personas, el 15 de agosto de 1987, luego de haber ensayado por más de dos años. Read more on Last.fm",199839,3903971,"Mägo de Oz, Ángeles del Infierno, Tierra Santa, Saratoga, Warcry"
Vetusta Morla,"Vetusta Morla es una banda de rock alternativo originaria de Tres Cantos, Madrid (España), que canta en castellano. Tras nueve años de andadura musical, en febrero de 2008 publican su primer largo, Un día en el mundo, que ha recibido una gran acogida tanto por parte del público como por la crítica especializada.

Vetusta Morla nació a finales de los años 90, concretamente en el verano de 1998. Todo comenzó en el gimnasio del instituto José Luis Sampedro, de la localidad madrileña de Tres Cantos. Read more on Last.fm",165033,9816418,"Izal, Supersubmarina, Love of Lesbian, Viva Suecia, Lori Meyers"
Leiva,"José Miguel Conejo Torres (Madrid, 30 de abril de 1980), conocido como Leiva, es un músico español miembro del grupo Pereza, siendo el bajista, baterista, guitarrista y cantante, además de letrista y compositor. Sin embargo, su primer grupo fue Malahierba. Su apodo que le viene desde su juventud por su parecido al jugar a fútbol con Leivinha, jugador del Atlético de Madrid las temporadas 1975-1979. En 1999 Leiva se juntó con Rubén Pozo Prats para hacer versiones del Leño. Read more on Last.fm",90371,2526073,"Pereza, Arde Bogotá, Sidecars, Vetusta Morla, Fito Y Fitipaldis"
Bad Bunny,"Benito Antonio Martínez Ocasio, mejor conocido como Bad Bunny, es un rapero y compositor puertorriqueño de trap, rap y hip-hop en español. Nació el 10 de marzo de 1994 en San Juan, Puerto Rico. Se ha ganado un nombre por su estilo inigualable a la hora de escribir rimas que de inmediato llaman la atención y por explorar distintos géneros musicales sin limitarse. Ambas cualidades no han afectado su popularidad mundial. Es tanto su popularidad Read more on Last.fm",2582126,407024693,"JHAYCO, Rauw Alejandro, Tainy, Mora, Trio Vegabajeño"
Enrique Bunbury,"Enrique Ortiz de Landázuri Yzarduy, mejor conocido como Enrique Bunbury. Nació el 11 de agosto de 1967 en Zaragoza.

En su juventud formó parte de diferentes bandas como Apocalipsis, Niños del Brasil, Rebel Waltz o zumo de vidrio (origen de Héroes del silencio).
En 1987 y ya como cantante de héroes del silencio editó su primer Maxi-single, Héroe de Leyenda.
La carrera de Héroes del Silencio se extendió hasta 1996,momento en que se separaron, consiguiendo un gran éxito, tanto nacional como internacional. Read more on Last.fm",149785,4886184,"Héroes del Silencio, Jaguares, Fobia, Elefante, Caifanes"
Marea,"Hacia el invierno de 1997, después de haber formado parte de varias bandas de punk (ATZ), Thrash metal (Kintal) y rock Kutxi Romero decide formar un grupo propio de puro Rock'n'roll, para ello decide llamar a Alén Ayerdi, ex batería de Begira y El Nido Del Cuervo, que no duda en unirse al proyecto de Kutxi, pese a estar ocupado con otro. Contacta con Edu Beaumont (El Piñas), que había conocido un año atrás. Piñas no había tocado anteriormente en ningún grupo Read more on Last.fm",123625,5123402,"La Fuga, Extremoduro, Platero y tú, Fito Y Fitipaldis, Barricada"
Joaquín Sabina,"Joaquín Ramón Martínez Sabina nació en Úbeda (Jaén) el 12 de febrero de 1949. Hijo de un comisario de policía, con 14 años comenzó a escribir poemas y a componer música en una banda formada por amigos, los Merry Youngs, que se dedicaban sobre todo a versionar a cantantes de rock como Elvis Presley, Chuck Berry y Little Richard. Cursó el bachillerato con las monjas Carmelitas y los sacerdotes Salesianos, en una época en la que escribía versos y leía a Fray Luis de León Read more on Last.fm",237562,7708267,"Joan Manuel Serrat, Luis Eduardo Aute, Ismael Serrano, Miguel Ríos, Café Quijano"
Rosalía,"Rosalía Vila Tobella, conocida mundialmente como ROSALÍA, es una cantante y compositora española.

 Comienza sus estudios musicales a los 10 años, hasta finalizar el grado superior en la ESMUC (Escola Superior de Música de Catalunya), en la especialización de flamenco. Al terminar, comienza a trabajar en distintas áreas de la música, participando en prestigiosos eventos dentro y fuera de España. En febrero de 2017 finalmente publicaría su primer álbum Read more on Last.fm",1867349,203697085,"Judeline, Lorde, Robyn, Bad Gyal, NATHY PELUSO"
Queen,"Queen es una banda de rock clásico creada en Londres, Inglaterra en 1970. Su formación clásica fue liderada por el ya fallecido Freddie Mercury tras la ruptura del grupo Smile, banda de donde provienen Roger Taylor y Brian May en compañía de Tim Sttaffel. A mediados de 1971 se uniría como bajista John Deacon, quien se retiraría de la banda poco después de la muerte de Freddie. Actualmente la banda solo está conformada por Roger Taylor y Brian May. Read more on Last.fm",7229689,426351148,"Freddie Mercury, Roger Taylor, Brian May, Freddie Mercury & Montserrat Caballé, Queen + Paul Rodgers"
The Lumineers,"Es una banda de Denver Colorado (EE.UU.) , está integrada por Wesley Schultz  (guitarra), Fraites Jeremiah  (batería, percusión, mandolina y voz), Pekarek Neyla (cello, mandolina, piano y voz). 

Wesley Schultz y Fraites Jeremiah  comenzaron a escribir canciones juntos en el 2005 en  New York  y más tarde se mudaron a Denver (Colorado), donde se reunieron  con Pekarek después de publicar un anuncio en  Craigslist para un violonchelista. En el Read more on Last.fm",2581910,92131692,"Caamp, The Head and the Heart, Vance Joy, Mt. Joy, Mumford & Sons"
Foo Fighters,"Foo Fighters es una banda de rock alternativo proveniente de Estados Unidos y que fue creada en el año 1995 por el ex-batería de Nirvana, Dave Grohl.

La banda ha conseguido varios reconocimientos y han marcado muchisimos exitos por todo el mundo, tales como This is a Call, Everlong, Monkey Wrench,  Learn to Fly, All My Life, Times Like These, Best Of You, DOA , No Way Back y ""The Pretender"", que alcanzó el puesto número uno en los Hot Modern Read more on Last.fm",6375398,364121042,"Pearl Jam, Taylor Hawkins & The Coattail Riders, Audioslave, Them Crooked Vultures, Red Hot Chili Peppers"
Muse,"Muse es una banda de rock alternativo originaria de la ciudad de Teignmouth, Devon (Inglaterra) formada en 1994 por Matthew Bellamy (voz, guitarra, y teclado), Dominic Howard (batería) y Chris Wolstenholme (bajo, teclados, coros).

Los tres eran amigos desde el colegio y cambiaron el nombre de la banda en varias ocasiones (Ghotic Plage, Fixed Penalty y Rocket Baby Dolls) antes de adoptar el de Muse. Su sonido es una mezcla de rock alternativo y electronica Read more on Last.fm",6397894,571485208,"Royal Blood, Placebo, Nothing But Thieves, Radiohead, Franz Ferdinand"
Metallica,"Metallica es una banda originaria de Estados Unidos. Fue fundada en 1981 en Los Ángeles por el danés Lars Ulrich y James Hetfield, a los que se les unirían Lloyd Grant y Ron McGovney. Estos dos músicos fueron después sustituidos por el guitarrista Dave Mustaine y el bajista Cliff Burton, respectivamente. Mustaine fue despedido un año después de ingresar en la banda debido a su excesiva adicción a las drogas y al alcohol, y fundó la banda Megadeth, siendo sustituido en Metallica por Kirk Hammett. Read more on Last.fm",5185293,535774615,"Megadeth, Slayer, Pantera, Anthrax, Iron Maiden"
Ginebras,"Ginebras es una banda que han formado entre 2018 y 2019 Magüi (gallega) a la guitarra rítmica y voz principal, Sandra (alicantina) a la guitarra solista y coros, Raquel (madrileña) al bajo, y Yavanna (canaria) a la batería. Entre sus logros está haber llamado la atención del Proyecto Demo del FIB, donde fueron cuartas, y también haber llegado a la semifinal del Mad Cool Talent. Read more on Last.fm",22168,690618,"Cariño, Karavana, Shego, Niña Polaca, Carolina Durante"
IZAL,"IZAL es un grupo indie/pop de España, formado en 2010. 

Provenientes de diferentes proyectos anteriores, con mas de 10 años de música a sus espaldas, 5 músicos formaron IZAL a finales de 2010. Con Mikel Izal , vocalista y compositor, encabezando una formación que completan Alejandro Jordá (batería), Emanuel Pérez (Bajo), Alberto Pérez (Guitarras) e Ivan Mella (Teclados).

Totalmente autogestionados consiguen en sólo unos meses de vida plantarse en el festival SONORAMA Read more on Last.fm",66750,3071775,"Viva Suecia, Vetusta Morla, Supersubmarina, Arde Bogotá, Lori Meyers"
Kaiser Chiefs,"Kaiser Chiefs son una banda británica de Leeds creada durante el 2003. Antes del 2003, el nombre de la banda era Parva (y anteriormente había sido Ruston Parva). Sin embargo, después de que su compañía discográfica les rescindiera el contrato, la banda retornó a sus raíces y adaptó un estilo más cercano al britpop, ayudando al grupo a alcanzar su actual popularidad en el Reino Unido y otros países.

Los miembros de la banda son fervientes seguidores del equipo de fútbol inglés Leeds United F. Read more on Last.fm",2882998,70455540,"Kasabian, Razorlight, Hard-Fi, The Fratellis, Franz Ferdinand"
Residente,"René Pérez Joglar (también conocido por su apodo «Residente») es un cantante y vocalista del grupo Calle 13. Nació el 23 de febrero de 1978 en Hato Rey, Puerto Rico. Hijo de un conocido abogado y de la actriz Flor Joglar de Gracia, que perteneció a la compañía ""Teatro del Sesenta"".

Tiene un bachillerato en artes y una maestría en cine. Escogió el nombre «Residente» porque así es como se tenía que identificar con el guardia cada vez que regresaba a su casa en Trujillo Alto. Read more on Last.fm",185421,2689421,"Calle 13, Ana Tijoux, Los Rivera Destino, Vico C, Eladio Carrion"
