artista,track,playcount,listeners
La Plazuela,Bulerías De La Guardia,6860,1288
La Plazuela,Camino de Cristales,7599,1282
La Plazuela,La Antigua Judería,9068,1232
La Plazuela,Principios del XX,5135,1138
La Plazuela,Perico El De La Tomasa,4447,868
La Plazuela,Tengo Que Pensar,4996,857
La Plazuela,⁠Rumba De Los Bajos,3732,821
La Plazuela,Sólo Eres Pa Mí,4042,761
La Plazuela,Nº0,2072,693
La Plazuela,Este Juego,3626,658
La Plazuela,La Vuelta_Robzzz_Remix,2338,640
La Plazuela,El Lao De La Pena_Mainline Magic Orchestra_Remix,2384,636
La Plazuela,Eterna Primavera,2945,627
La Plazuela,18010,3548,615
La Plazuela,Péiname Juana_Jafunk_Remix,1814,606
La Plazuela,De Color - Remix,2817,562
La Plazuela,Parao Frente a la Muerte,2321,537
La Plazuela,Realejo Beach_Dan Solo_Remix,1520,536
La Plazuela,Calabajío,2165,518
La Plazuela,La Cara De Dios,2874,492
La Plazuela,De Mí Pa Ti,2597,482
La Plazuela,La Primerica Helá_Texture_Remix,1148,472
La Plazuela,D.L.Y,1996,471
La Plazuela,Si lo callo muero,1653,462
La Plazuela,De 2 En 2,2269,433
La Plazuela,Marinero en Tierra,1469,377
La Plazuela,Péiname Juana_La Vida De Jaime & Droxo_Remix,941,375
La Plazuela,En la Espera Taskino,1355,372
La Plazuela,Mira La Niña_Chico Blanco_Remix,751,356
La Plazuela,El Lao De La Pena_Cccorrosion_Remix,967,338
La Plazuela,Ron de Motril,1042,325
Veintiuno,La vida moderna (feat. Love of Lesbian),113338,10693
Veintiuno,Dopamina,76200,8315
Veintiuno,La Toscana,27202,2963
Veintiuno,Nudes,13941,2023
Veintiuno,"La Ruina (feat. Niña Polaca, La Maravillosa Orquesta del Alcohol)",10228,1876
Veintiuno,La Ruina,16652,1833
Veintiuno,Nudes (feat. Chica Sobresalto),10179,1760
Veintiuno,Cabezabajo,12590,1728
Veintiuno,La Llorería,8989,1681
Veintiuno,Escalofríos,14468,1650
Veintiuno,Ya no nos hablamos,9395,1565
Veintiuno,Perder los modales,11818,1564
Veintiuno,Tu nombre (feat. Zahara),7397,1557
Veintiuno,Irremediable (feat. Siloé),9662,1528
Veintiuno,Estarás,12063,1431
Veintiuno,Caramelo,9819,1396
Veintiuno,Acantilado,8698,1389
Veintiuno,Pide un deseo por mí,6377,1276
Veintiuno,Pirotecnia,8935,1232
Veintiuno,La Llorería (feat. La La Love You),5770,1141
Veintiuno,Haters,8269,1112
Veintiuno,Mañana lo dejo,9617,1072
Veintiuno,Armadura,6707,1018
Veintiuno,Irremediable,2983,985
Veintiuno,Anhelo,8367,973
Veintiuno,Desvelo,7570,958
Veintiuno,⁠Mitología,5754,949
Veintiuno,Telenovela,5551,923
Veintiuno,A la orilla,6049,915
Veintiuno,Puñalada,3875,855
Veintiuno,Mi monstruo y yo,6062,836
Veintiuno,Parasiempre (feat. Ainoa Buitrago),3887,821
Veintiuno,Chihiro,5740,784
Veintiuno,La la land,2870,772
Veintiuno,Leona,6078,756
Veintiuno,Vidas pasadas,4576,743
Veintiuno,La vida moderna,2728,742
Veintiuno,El desfile,4477,720
Veintiuno,"Marta, Sebas, Guille y los demás (feat. Arnau Griso)",3083,700
Veintiuno,Salvavidas (feat. Pole.),4415,698
Veintiuno,Salvavidas,4448,623
Veintiuno,Desvelo (feat. Yoly Saa),2582,597
Veintiuno,Complicidad,3399,594
Veintiuno,Cabezabajo (feat. Zetazen),3708,592
Veintiuno,Delirio y equilibrio,3722,564
Veintiuno,Dominó,2409,562
Veintiuno,Medalla de plata,3600,517
Veintiuno,Parasiempre,2472,507
Veintiuno,Nuestra parte de noche,2830,497
Veintiuno,Tu nombre,3075,490
Ojete Calor,Mocatriz,85936,11532
Ojete Calor,Viejoven,51304,8968
Ojete Calor,Tonta Gilipó,34403,5995
Ojete Calor,Sinceridad No Pedida,18171,4158
Ojete Calor,Cuidado Con El Cyborg (Corre Sarah Connor),18327,3703
Ojete Calor,Agapimú (feat. Ana Belén),28752,3464
Ojete Calor,Qué Bien Tan Mal,16153,3392
Ojete Calor,Opino De Que,14441,3026
Ojete Calor,0´60,12079,2769
Ojete Calor,Vintage,11354,2657
Ojete Calor,Morreo (feat. The Calorettes),11218,2397
Ojete Calor,Vete A Tu Casa (Freed From Desire),9248,2277
